job_id,job_description,job_apply_count,expire_date,employment_status,experience_level,industries,job_functions,location,listed_date,original_listed_date,title,views,is_remote
3720343890,"CrazyLabs is a top 5 mobile games publisher with over 6 Billion downloads to date, a worldwide leader in hyper-casual games development, distribution, and innovation.

We’re looking for an experienced Game Data Analyst to work closely with the product teams to analyze performance metrics, create insights, and guide data-driven decisions.

If you have Passion for Gaming and work in a dynamic fast fast-paced environment, then this position is for you!

Here’s what we need, up for the challenge?

Analyzing large, complex data sets representing the behavior of millions of players to address strategic and operational business questionsOptimization and maximization users monetizationRecommendations for segmented offers based on user segments and behaviorData mining, pattern recognition & correlation analysis and insight generationDefinition, measurement and evaluation of AB test Provide actionable recommendations from game data to shape features, game economy, and future product roadmapsBe involved in building automated dashboards and reports to facilitate company-wide understanding of business KPIs and player experienceIdentify and communicate key trends and potential development improvementsCollaborate with stakeholders to drive insights that will help produce monetization and retention improvementsRecommendations based statistical analysis of data

Requirements:

What we're looking for:

2+ years of experience as a Data Analyst in a gaming company -A MUSTBA/B.Sc. in Statistics / Math / Engineering/ Economy or another quantitative fieldA methodological approach for data with the ability to present the data clearly and efficiently to support business decisionsExcellent mathematical and analytical skillsExcel/Google spreadsheet skillsProficient with SQL Experience with Tableau or similar analytical toolsAbility to query data in order to evaluate ongoing player behavior and interests in relation to game featuresAbility to effectively communicate data results and related conclusionsTeam-player with excellent initiative and motivationGreat organizational and problem-solving skills

What we offer:

Join an experienced, supportive, and creative team of professionalsMake an impact - shape our next hit mobile games, reaching millions of people worldwide! Personal growth - we encourage continuous learning and development within our international teams",133,2023-09-21 15:14:49,Full-time,,['Mobile Gaming Apps'],['Information Technology'],"Berlin, Berlin, Germany",2023-09-21 15:14:49,2023-09-21 15:14:49,Game Data Analyst,794,False
3744139319,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Program: 4 weeks hands-on training and projects, training certification, and project work at our German AI startup – Moyyn (Program language – English)

What you will get from this program?

– 4 weeks hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in Data Analytics

Modules
 Hands-on training and Project work
Get trained directly from the founders and get hands-on training and projects

– Real-time data analysis tasks

– Candidate Dashboard creation

– Trainee data analysis

– Marketing funnel analysis and optimization

– 2 weeks group project
 Data Analytics Training
8 hours training incl. guest speakers from Europe (self paced learning)

– Fundamentals of Data Analytics

– Descriptive Statistics

– Data Distributions

– Data Visualization using Python

– AB Testing, Hypothesis Testing and many more
 Career Guidance:
Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our Data Analyst Training Program?

– Skill development: Learn the fundamentals of Data Analysis

– Career advancement: Get the confidence and training to switch your career to Data Analyst

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program.",7,2023-10-19 16:32:44,Part-time,Entry level,['Staffing and Recruiting'],['Information Technology'],"Düsseldorf, North Rhine-Westphalia, Germany",2023-10-19 16:32:44,2023-10-19 16:32:44,Data Analyst Bootcamp and Project Work (remote -part time) @ Moyyn,58,True
3744139318,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Program: 4 weeks hands-on training and projects, training certification, and project work at our German AI startup – Moyyn (Program language – English)

What you will get from this program?

– 4 weeks hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in Data Analytics

Modules
 Hands-on training and Project work
Get trained directly from the founders and get hands-on training and projects

– Real-time data analysis tasks

– Candidate Dashboard creation

– Trainee data analysis

– Marketing funnel analysis and optimization

– 2 weeks group project
 Data Analytics Training
8 hours training incl. guest speakers from Europe (self paced learning)

– Fundamentals of Data Analytics

– Descriptive Statistics

– Data Distributions

– Data Visualization using Python

– AB Testing, Hypothesis Testing and many more
 Career Guidance:
Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our Data Analyst Training Program?

– Skill development: Learn the fundamentals of Data Analysis

– Career advancement: Get the confidence and training to switch your career to Data Analyst

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program.",21,2023-10-19 16:32:44,Part-time,Entry level,['Staffing and Recruiting'],['Information Technology'],"Bremen, Bremen, Germany",2023-10-19 16:32:44,2023-10-19 16:32:44,Data Analyst Bootcamp and Project Work (remote -part time) @ Moyyn,110,True
3747258633,"Almedia helps companies grow by promoting their apps, games, surveys, and more to our big user base of 750k monthly active users. Our main site gets 15k signups a day and 10M page visits per month. In just over 2 years we've paid out almost over $30M to our users, who receive rewards for completing tasks and surveys.

Responsibilities: 

Utilize data to drive revenue maximization in one of the following areas: Advertiser ROAS, User Acquisition, Gamification/ProductLead and take ownership of analytics projects from start to finish, including conducting in-depth analysis of the product funnel, designing and implementing experiments, and creating and implementing decision modelsOwn and execute product experiments aimed at driving growth, enhancing existing features, and identifying new areas of opportunityMeasure the impact of features and projects by analyzing relevant metrics and conducting split-testing in different user cohortsWrite SQL queries to provide key contextual insights for various areas of the businessCollaborate effectively with cross-functional teams, including product, developers, business development, and user acquisition channel managersDevelop and define meaningful metrics that can be used to measure the progress of teams and projects

Requirements

3+ years of experience as a Data Analyst or in a similar position, with a track record of contributing to decision-making in business, marketing, or product domainsBachelor's degree in computer science, mathematics, economics, statistics, or other quantitative fields of studyStrong knowledge of SQL and experience working with relational databases Strong Python skillsPreference for candidates with backgrounds in ad tech, gaming, or marketingDemonstrated ability to conduct in-depth data analysis and derive actionable insightsProficiency in designing and executing experiments, and analyzing the resultsExcellent communication skills, with the ability to present complex findings in a clear and concise mannerStrong problem-solving abilities and a detail-oriented mindsetDemonstrated ability to work independently and lead projects from start to finishExperience collaborating with cross-functional teams and managing multiple stakeholders

Benefits

Small, young, and highly ambitious team - you can shape and contribute to building our futureWell-connected, modern office in Berlin Mitte with weekly eventsFree beverages and snacks3-4 team events/trips outside of Germany per yearCompetitive salaryProfitable start-up - no financial riskBring your own device or choose a new device provided by the companyFlexible working hoursEducation budget",42,2023-09-28 23:43:29,Full-time,Mid-Senior level,"['Technology, Information and Internet']",['Analyst'],"Berlin, Berlin, Germany",2023-09-28 23:43:29,2023-09-28 23:43:29,Data Analyst - Business Intelligence,105,False
3742848016,"Für unsere Business Intelligence suchen wir in Grasleben, Berlin oder remote eine:n (Junior) Data Analyst:in in Vollzeit

Wir bieten

Eine intensive Einarbeitung zum Kennenlernen der verschiedenen UnternehmensprozesseEinen spannenden Tätigkeitsbereich mit hohem GestaltungsspielraumViele Weiterbildungsmöglichkeiten und Inhouse-VeranstaltungenEin dynamisches Team, in dem eigenständiges Arbeiten gefördert wirdModerne, flache Hierarchien und kurze Entscheidungswege13. Monatsgehalt garantiert und Chance auf ein 14. Gehalt30 Tage Urlaub im JahrMöglichkeiten zur mobilen ArbeitGleitzeit… und jede Menge weiterer Benefits

Deine Aufgaben

Du unterstützt und berätst unsere Fachbereiche bei komplexen Auswertungen und Analysen ihrer KennzahlenDu erstellst ad hoc Auswertungen und Analysen zu unserem Geschäftsbetrieb und stellst diese dem Team und der Geschäftsleitung bereitGemeinsam mit deinem Team selektierst du unsere Daten für die weitere VerwendungDank deiner Arbeit im Datenmanagement mit der kontinuierlichen Aufbereitung und Visualisierungen unserer Daten, schaffst du die Grundlagen für wichtige UnternehmensentscheidungenDu erarbeitest gemeinsam mit unseren Fachbereichen ihre Anforderungen an Auswertungen und das BerichtswesenDu arbeitest eng mit anderen Teams zusammen, um datenbasierte Lösungen zu entwickeln und umzusetzenDank deiner Arbeit im Datenmanagement und der kontinuierlichen Abstimmung mit den Fachbereichen schaffst du die Basis für wichtige Unternehmensentscheidungen

Das bringst du mit

Du hast dein Studium (gern mit Schwerpunkten im Bereich (Wirtschafts-) Informatik, (Wirtschafts-) Mathematik, o.Ä. ) oder eine vergleichbare Ausbildung erfolgreich abgeschlossenErste Berufserfahrung ist von Vorteil aber kein MussDu bist bereits Profi im Umgang mit MS Power BI oder hast Lust eine:r zu werdenIm Umgang mit SQL-Datenbanken bist du geübtIn deiner Laufbahn hast du bereits Erfahrungen in der Datenanalyse- und Aufbereitung gemachtEs macht dir Spaß, Daten und Zahlen zu verstehen, zu hinterfragen und zu analysieren Du zeigst Eigeninitiative und hast eine sorgfältige, strukturierte ArbeitsweiseDein agiles Mindset ermöglicht es dir mit Veränderungen situativ und konstruktiv umzugehen

Interessiert?

Dann bewirb dich jetzt! Wir freuen uns darauf mehr von dir zu erfahren und dir Sport-Thieme vorzustellen.

Sport-Thieme

Sport-Thieme ist der Marktführer im Versandhandel von Sportgeräten für den Schul- und Vereinssport sowie den Fitness- und Therapiebereich in Deutschland und Europa. Wir sind ein innovatives und expandierendes Familienunternehmen mit mehr als 420 Mitarbeiter:innen. Sport-Thieme agiert europa- und weltweit mit einer Produktpalette von über 19.000 Sportartikeln für mehr als 70 Sportarten.

Mit unserer Arbeit helfen wir unseren Kund:innen, einen kleinen Beitrag zur Lebensqualität vieler Menschen zu leisten, die Gesundheit und Freude durch Bewegung erfahren.",76,2023-10-19 18:16:01,Full-time,Mid-Senior level,['Wholesale'],['Information Technology'],"Grasleben, Lower Saxony, Germany",2023-10-19 18:16:01,2023-10-19 18:16:01,(Junior) Data Analyst:in,418,True
3711895078,"Möchten Sie die nächste Stufe in Ihrer Karriere erreichen? Bei Brunel haben Sie die Möglichkeit, sich bei namhaften Kunden kontinuierlich weiterzuentwickeln - und das branchenübergreifend. Machen Sie noch heute den entscheidenden Schritt Ihrer Karriere und bewerben Sie sich bei uns als Data Engineer/ Data Analyst.
Ihre Aufgabe
Unterstützung der Fachbereiche durch die Bereitstellung regelmäßiger Reports, Dashboards & Analysen.Eigenständige Erstellung und Weiterentwicklung bestehender Reports sowie Ausarbeitung neuer Datenanalysen.Untersuchung verschiedener Fragestellungen.Analyse von neuen Anforderungen sowie die Umsetzung dieser im Reporting.Aufbereitung und Bereitstellung von Daten für Entscheidungsgrundlagen.
Ihr Profil
 Erfolgreich abgeschlossenes Studium oder eine vergleichbare Qualifikation - Selbstständige und ergebnisorientierte Arbeitsweise, analytische Kompetenz und eine ausgeprägte Kommunikationsfähigkeit - Kenntnisse in SQL und Datenanalyse sowie Erfahrung mit mindestens einer Programmiersprache (z. B. Python, Scala) - Zahlenaffinität sowie Verständnis von und Interesse an komplexen technischen & betriebswirtschaftlichen Abläufen sowie Zusammenhängen
Wir Bieten
Wir bieten Ihnen eine Unternehmenskultur, die geprägt ist von der Vielfältigkeit unserer Mitarbeiter sowie von gegenseitiger Wertschätzung - zwischen den Mitarbeitern und auf allen Unternehmensebenen. Dazu gehören neben abwechslungsreichen Stammtischen mit den lokalen Brunel Teams, auch regelmäßige Feedback-Gespräche über Ihre Herausforderungen und Perspektiven mit Ihrem Account Manager. Mit individuellen Fortbildungen und Trainings werden Sie optimal gefördert und auf zukünftige Projekte vorbereitet. Unbefristete Arbeitsverträge, 30 Tage Urlaub, Arbeitskontenregelung sowie betriebliche, arbeitgeberfinanzierte Altersvorsorge sind bei uns selbstverständlich.",124,2023-09-04 22:55:20,Full-time,Entry level,"['Software Development', 'Consumer Electronics', 'Information Technology & Services']",['Information Technology'],"Mannheim, Baden-Württemberg, Germany",2023-09-04 22:55:20,2023-09-04 22:55:20,Data Engineer/ Data Analyst,885,False
3740289978,"Your mission

Conception and implementation of Ad-hoc Reports and Business DashboardsTranslate important business questions into concrete analytical tasks and delivering action and optimize measures for all teamsWork together with business partners to develop requirements, define success metrics, manage and execute analytical projects and evaluate resultsDesigning experiments, testing hypotheses and creating models in the areas of customer experience, user acquisition and product, among othersPreparing forecasts and reports, as well as advising the operative business unitsDirect communication with teams to optimize campaigns and events

Your profile

Successfully completed studies in the field of statistics, computer science or economics, social sciences, media or communication sciences, neuroscience, psychology with a focus on statisticsRelevant professional experience in the field of Business IntelligenceVery good knowledge of SQL and R or PythonKnowledge of AB and Multivariate TestingAdditional knowledge of Machine Learning is an advantageExperience with data visualization and reporting software (Tableau, Quicksight, Lookr, Sisense)Strong analytical and conceptual skills and very good general technical understandingGood knowledge and experience in project managementExcellent written and spoken German and English skillsAbove-average quality standards and an absolutely reliable and independent way of workingAbility to work in a team as well as competent and professional appearanceStrong organisational and coordination skillsExperience in the online games industry would be an advantage

Why us?

We offer you a flexible working model. You will work remote or in one of our modern offices in Berlin, Hamburg or Frankfurt Main, which boasts a café, communal rooms & gaming loungeYou will be a member of an experienced, helpful team in a challenging environment with flat hierarchies and leading-edge technologiesWe offer you a wide variety of tasks with a high level of individual responsibility and the opportunity to contribute your strengths and ideas with a great degree of creative freedomWe want to achieve great things with your help and offer you a permanent employment contractVarious benefits such as meal vouchers & sports allowance",82,2023-10-16 19:11:33,Full-time,Mid-Senior level,['Computer Games'],['Information Technology'],"Hamburg, Hamburg, Germany",2023-10-16 19:11:33,2023-10-16 19:11:33,Data Analyst (f/m/d),318,False
3744134806,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Program: 4 weeks hands-on training and projects, training certification, and project work at our German AI startup – Moyyn (Program language – English)

What you will get from this program?

– 4 weeks hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in Data Analytics

Modules
 Hands-on training and Project work
Get trained directly from the founders and get hands-on training and projects

– Real-time data analysis tasks

– Candidate Dashboard creation

– Trainee data analysis

– Marketing funnel analysis and optimization

– 2 weeks group project
 Data Analytics Training
8 hours training incl. guest speakers from Europe (self paced learning)

– Fundamentals of Data Analytics

– Descriptive Statistics

– Data Distributions

– Data Visualization using Python

– AB Testing, Hypothesis Testing and many more
 Career Guidance:
Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our Data Analyst Training Program?

– Skill development: Learn the fundamentals of Data Analysis

– Career advancement: Get the confidence and training to switch your career to Data Analyst

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program.",4,2023-10-19 16:32:45,Part-time,Entry level,['Staffing and Recruiting'],['Information Technology'],"Leipzig, Saxony, Germany",2023-10-19 16:32:45,2023-10-19 16:32:45,Data Analyst Bootcamp and Project Work (remote -part time) @ Moyyn,58,True
3713809714,"Your Tasks
Conceptualize, build and maintain dashboards in Tableau and Google Looker / Looker Studio for Retail Media products (e.g. Sponsored Product Ads)Act as consultant (m/f/d) for the Retail Media product team and support them to accelerate the Retail Media businessConduct deep-dive analysis with actionable recommendations and conclusionsPerform ad-hoc reports and provide insights to Retail Media stakeholders as a basis for decision makingDevelop and implement data-driven use casesSupport and guide junior members of the Analytics team 

Your Profile
University degree in the field of Data or Computer Science, Business, Economics, or Information Management Several years of analytical and database experienceExperience in analyzing marketing and customer data (e.g. digital advertising, e-commerce and CRM data) to gain insights and use them to manage marketing campaigns Equipped with good knowledge in SQL and dashboarding tools such as Tableau, Google Looker Studio or any other data analytics toolsGood communication skillsEnglish and German fluent in written and spoken

About Us

As part of the Customer Intelligence & Analytics Team in the MediaMarktSaturn Retail Group GmbH, our Data Analytics specialists generate actionable insights to increase sales, drive customer engagement and improve targeting and campaigning for MediaMarkt and Saturn in an international environment. If you are keen on analyzing data and creating value from data, then apply now.

Additional Benefits

",160,2023-09-06 14:46:27,Full-time,Entry level,['Retail'],['Information Technology'],"Munich, Bavaria, Germany",2023-09-06 14:46:27,2023-09-06 14:46:27,Data Analyst (limited 18 months) - Customer Intelligence & Analytics (m/f/d),1059,False
3744138318,"If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!

Program: 4 weeks hands-on training and projects, training certification, and project work at our German AI startup – Moyyn (Program language – English)

What you will get from this program?

– 4 weeks hands-on training and projects – in a German AI startup

– Learn and work – directly with founders and potential clients from Germany

– Do practical group Project work and build up experience in Data Analytics

Modules
 Hands-on training and Project work
Get trained directly from the founders and get hands-on training and projects

– Real-time data analysis tasks

– Candidate Dashboard creation

– Trainee data analysis

– Marketing funnel analysis and optimization

– 2 weeks group project
 Data Analytics Training
8 hours training incl. guest speakers from Europe (self paced learning)

– Fundamentals of Data Analytics

– Descriptive Statistics

– Data Distributions

– Data Visualization using Python

– AB Testing, Hypothesis Testing and many more
 Career Guidance:
Get guidance on how to land a job

– Career sessions

– Job search platforms intro

– CV preparation

– Cover letter preparation

– Interview tips

Why join our Data Analyst Training Program?

– Skill development: Learn the fundamentals of Data Analysis

– Career advancement: Get the confidence and training to switch your career to Data Analyst

– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners

– Real startup projects: Work directly with our CPO on real startup projects

– Networking Join our GATE community and build your network

A Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program.",18,2023-10-19 16:32:45,Part-time,Entry level,['Staffing and Recruiting'],['Information Technology'],"Hannover, Lower Saxony, Germany",2023-10-19 16:32:45,2023-10-19 16:32:45,Data Analyst Bootcamp and Project Work (remote -part time) @ Moyyn,92,True
